iter	Logloss
0	0.6556875548
1	0.6170463971
2	0.589010175
3	0.5627240012
4	0.537505032
5	0.514409261
6	0.497511289
7	0.4804879918
8	0.4607857745
9	0.4462814141
10	0.4300834796
11	0.4113072643
12	0.4015445908
13	0.3896846079
14	0.3752179272
15	0.3535328934
16	0.3391047284
17	0.3252423091
18	0.3153588832
19	0.3090053845
20	0.3024302464
21	0.296230725
22	0.2892505208
23	0.2822128044
24	0.2723750321
25	0.2658332704
26	0.2604698648
27	0.2553584693
28	0.2514733986
29	0.24814669
30	0.2432106928
31	0.2337681354
32	0.230910355
33	0.2279419118
34	0.2242960197
35	0.2216438108
36	0.217996362
37	0.2128004068
38	0.208991478
39	0.2006448435
40	0.1902579507
41	0.1838182314
42	0.1803011538
43	0.1785108041
44	0.1763061555
45	0.1745864004
46	0.1702881976
47	0.1684035821
48	0.1612915006
49	0.1595768041
50	0.1555043057
51	0.1542082415
52	0.1529069448
53	0.1470827869
54	0.1418396532
55	0.1391250947
56	0.133352663
57	0.1307887325
58	0.1286616907
59	0.1266290249
60	0.1258020843
61	0.1239188002
62	0.1199534926
63	0.1174492873
64	0.115824567
65	0.1149876259
66	0.1138361184
67	0.112875639
68	0.1108370818
69	0.1099138496
70	0.1093086497
71	0.1084019818
72	0.1079200937
73	0.1072002949
74	0.1064033304
75	0.1043040146
76	0.1039502766
77	0.1024382097
78	0.1017405134
79	0.10135482
80	0.1000187283
81	0.09863291691
82	0.0973742739
83	0.09527428041
84	0.09348071374
85	0.09232596419
86	0.09196011741
87	0.09131311759
88	0.0901046397
89	0.08754892827
90	0.08644863637
91	0.08600993411
92	0.08550832019
93	0.08462569866
94	0.08431745791
95	0.08288063892
96	0.0822366047
97	0.08093709225
98	0.07995931806
99	0.07966330867
100	0.07817701559
101	0.0779744862
102	0.07673218346
103	0.0760671665
104	0.07511281
105	0.07476884995
106	0.07447756544
107	0.07419109452
108	0.07329034235
109	0.0725874199
110	0.07107815027
111	0.06998586159
112	0.06955955693
113	0.06760201705
114	0.06637247128
115	0.06609281687
116	0.06583484276
117	0.0656566018
118	0.06479643287
119	0.06276569552
120	0.06181837434
121	0.06123415177
122	0.06108390045
123	0.06096242007
124	0.06049238759
125	0.05999668379
126	0.05990575884
127	0.05903895784
128	0.05883065242
129	0.05869247712
130	0.05805707953
131	0.05756205692
132	0.05734269794
133	0.05715622948
134	0.05695302245
135	0.05626716131
136	0.05544136268
137	0.055041687
138	0.05449279734
139	0.05384139876
140	0.05308287121
141	0.05246463497
142	0.05235720987
143	0.05218112006
144	0.05153505581
145	0.05091506086
146	0.05072969322
147	0.05065047559
148	0.05050034695
149	0.04987388758
150	0.04955202399
151	0.0494393398
152	0.04897673269
153	0.04890621767
154	0.04836604648
155	0.04766642799
156	0.04697816894
157	0.04630117426
158	0.04626254847
159	0.04622811815
160	0.0458604886
161	0.04517674182
162	0.0437350336
163	0.04371540771
164	0.04358807698
165	0.04343549603
166	0.04330832188
167	0.04268455638
168	0.04261934724
169	0.04253702058
170	0.04218337903
171	0.04202835686
172	0.04187391403
173	0.04173324905
174	0.04155269211
175	0.04125606931
176	0.04111154284
177	0.04103544565
178	0.04084756338
179	0.04072711802
